month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202604,33900,"Monticello, IN",861.0,324950.0,0.0754,-0.0001,91,0.1742,0.3285,44.0,-0.2564,0.3385,56.0,0.75,-0.0667,0.0,,,0.0,0.0,0.0,40.0,0.4286,0.8182,0.2193,0.0184,0.0584,36.0,0.4118,0.8462,199.0,0.0638,0.0419,1725.0,0.002,-0.0227,379618.0,0.0222,-0.0373,129.0,0.2598,0.4602,0.3956,0.0666,0.1109,0
202604,29660,"Laramie, WY",672.0,423250.0,0.0422,-0.1406,90,0.2013,0.0468,49.0,0.0,0.2468,54.0,0.5,0.0385,0.0,,,0.0,0.0,0.0,8.0,3.0,-0.4286,0.0383,0.0274,-0.0368,72.0,0.3,0.1721,230.0,-0.0554,0.0979,2027.0,0.1535,-0.1973,547972.0,0.0381,-0.0941,160.0,0.2403,0.0922,0.7989,0.0606,0.0854,1
202604,14500,"Boulder, CO",161.0,833000.0,0.0419,-0.0297,1217,0.159,0.0171,41.0,0.0933,0.0649,560.0,-0.1167,-0.1977,14.0,0.1667,0.75,0.006,0.0004,0.0025,434.0,0.1667,-0.0136,0.1996,0.0264,0.0116,465.0,0.0928,0.0065,420.0,-0.0015,-0.0127,2292.0,0.0197,-0.0068,1456493.0,-0.0239,0.0453,1681.0,0.1386,0.0123,0.3821,-0.0232,-0.004,0
202604,41100,"St. George, UT",243.0,625500.0,-0.015,-0.0377,1973,0.0051,0.0992,64.0,0.2095,0.016,588.0,0.0929,0.0929,34.0,-0.1905,0.0625,0.011,-0.0025,0.0001,676.0,-0.0506,-0.0029,0.2116,-0.0218,-0.0169,623.0,0.0401,-0.0511,292.0,-0.0012,-0.0175,2244.0,-0.0076,-0.0251,876472.0,-0.0181,-0.0277,2562.0,0.0071,0.0578,0.3156,0.0106,-0.05,0
202604,33500,"Minot, ND",464.0,336450.0,0.0811,0.1219,111,-0.0556,0.0676,39.0,-0.0488,-0.0824,96.0,0.1163,-0.1273,4.0,0.0,0.0,0.0115,-0.001,0.0,44.0,0.0476,0.8333,0.1256,-0.0049,0.0548,144.0,0.2255,0.1206,151.0,0.0093,0.1402,2278.0,0.031,-0.0181,390974.0,0.0386,0.1678,254.0,0.088,0.0974,1.3032,0.2989,0.0616,0
202604,33140,"Michigan City-La Porte, IN",374.0,304500.0,0.021,0.0326,232,0.1211,0.1404,46.0,-0.1455,0.0111,126.0,0.1053,-0.137,2.0,0.0,-0.6667,0.0041,0.0004,-0.0074,84.0,0.2727,0.2727,0.1577,0.0283,0.0276,171.0,0.1032,0.0148,167.0,0.02,-0.035,1824.0,-0.0175,0.0327,399748.0,0.0296,-0.0873,402.0,0.1182,0.088,0.7387,-0.0119,-0.0914,0
202604,11420,"Angola, IN",778.0,514225.0,0.0287,0.2099,96,0.2484,-0.1198,43.0,-0.332,-0.1393,68.0,0.619,0.4167,0.0,,,0.0,0.0,0.0,22.0,0.2222,-0.3529,0.1079,-0.0021,-0.063,42.0,-0.0455,-0.0562,234.0,-0.0039,-0.073,2034.0,0.0002,0.1004,640921.0,-0.0448,0.09,136.0,0.124,-0.1111,0.4398,-0.1354,0.0297,0
202604,11640,"Arecibo, PR",,321000.0,0.0703,-0.0802,75,-0.2437,0.1825,96.0,0.0977,0.447,26.0,0.3,0.4444,0.0,,,0.0,0.0,0.0,10.0,0.25,1.5,0.0671,0.0094,0.0354,47.0,0.0941,0.2237,174.0,0.0443,-0.0643,1843.0,0.0334,-0.0994,534380.0,0.0694,0.0311,122.0,-0.1254,0.2079,0.6242,0.1927,0.021,0
202604,23420,"Fresno, CA",60.0,469750.0,0.0179,-0.0203,1938,0.0445,0.0414,50.0,-0.0291,0.0471,884.0,-0.0636,-0.02,44.0,-0.2414,-0.1852,0.0113,-0.0037,-0.0029,606.0,0.0134,-0.059,0.1532,-0.0021,-0.0094,1106.0,0.0073,-0.0099,262.0,0.0049,-0.0015,1829.0,0.0229,-0.0065,611036.0,0.0034,0.0056,3017.0,0.0255,0.0169,0.5706,-0.0211,-0.0295,0
202604,38240,"Pinehurst-Southern Pines, NC",359.0,470000.0,-0.0048,-0.0346,730,0.0986,0.3015,58.0,-0.1183,0.1846,312.0,0.0541,-0.0311,8.0,-0.4286,-0.2,0.0054,-0.005,-0.0028,212.0,0.0291,0.1277,0.1506,-0.0023,0.0014,410.0,0.0819,0.0393,220.0,-0.0047,0.0021,2338.0,-0.0057,-0.0074,722095.0,0.0173,0.1688,1131.0,0.0881,0.1944,0.5613,-0.0087,-0.1416,0
